formula,FE
ThSiO4,-3.6605411925000007
Ba2Ti2AlF11,-3.6605180317187496
BaTb2O4,-3.660493134404762
Ho9B4O19,-3.6600929548177055
Lu2Ti2O7,-3.660010889924246
NdZr9O20,-3.65999746772917
CeTaO4,-3.659933642472218
Dy10Ti6O27,-3.659630728720932
Tb8O13,-3.659267756607143
La4MgTi3O12,-3.65881054425
Ce4Al2O9,-3.6582374139999994
UOF4,-3.657923195694442
LiY9(Si3O13)2,-3.6575412928174607
Sr2U2O7,-3.657502871136361
EuZr4O9,-3.656641522321429
Nd2TiO5,-3.656383466145833
SrCa2Sc6O12,-3.6560691261904688
Cs2NaAl3F12,-3.655630928371648
SrY2O4,-3.65516057357143
Er18Ti14O55,-3.6548722656417474
La7BP2O17,-3.653975520220458
Ho6WO12,-3.653758141578944
BaSm2Ti3O10,-3.6534158781249992
PrAlO3,-3.653266695833332
Y6WO12,-3.653067245789472
BaCaCeHfO6,-3.651223837999999
SrTb2O4,-3.6504437935714313
La7ScAl8O24,-3.650419473000001
Nd10Ti9GaO34,-3.649999682175925
Tb10Ti6O27,-3.649619986453484
BaEr4Si5O17,-3.649158523425925
DyZr4O9,-3.648516581794638
ZrVF6,-3.648451880000001
Er2U3O11,-3.648241938906247
Nd2Zr8O19,-3.647322045344828
Gd3Al5O12,-3.6471084695
LiLa3Ti2O9,-3.6468541895
LiLa4Ti3O12,-3.646184420666666
Ba3Lu4O9,-3.6461800727604174
CeNdAl2O6,-3.64615648625
SrHo2Al2O7,-3.646051281041665
Np3OF12,-3.645372074609376
La2SiO5,-3.645310626875
Y11Ta5O28,-3.64444748051668
KAlF4,-3.6440961760416655
Dy14Ti10O41,-3.644065568641061
BaSr3Zr4O12,-3.6440625505
Ca2La4Ti5O18,-3.6435297272988505
K2NaAl3F12,-3.642596956715517
Sr4Hf3TiO12,-3.6425935330833368
CsSrF3,-3.6425225885
BaY2O4,-3.641963924999999
Sm3Al5O12,-3.6413812078749954
BaLa3Sc4HO12,-3.6413102479166666
CsAlF4,-3.641292441111111
Ba2NdPaO6,-3.641143036249999
Nd3NbO7,-3.6408653011363623
Ba2CaMnV2F14,-3.640566552396551
Ba3Hf2O7,-3.6405079543750016
BaMgCrF7,-3.64020484625
SrTb2Sc2O7,-3.6401709951041497
BaHo4Si5O17,-3.639853984537036
SrEuHfTiO6,-3.6389676083333327
BaPr2Ti3O10,-3.638931140208333
RbAlF4,-3.638838198083334
Ba2CePaO6,-3.637790881499999
EuZrO3,-3.637609256000006
Na3Sm17Si12(O25F)2,-3.6375064360611664
NaZr2ZnF11,-3.6373913005919536
